省份,地级市,纬度,经度
北京,北京市,39.9042,116.4074
天津,天津市,39.3434,117.3616
河北,石家庄市,38.0428,114.5149
,保定市,38.8739,115.4823
,唐山市,38.9897,117.7578
,邯郸市,36.6256,114.5396
,邢台市,37.0704,114.5049
,霸州市,39.1198,116.593
,承德市,40.954,117.9332
,秦皇岛市,38.9375,119.604
山西,太原市,37.8715,112.548
,大同市,40.0822,113.2955
,阳泉市,38.0951,113.5738
,长治市,36.1954,113.1169
,晋城市,35.4995,112.8512
,朔州市,39.3348,112.4332
,晋中市,37.6873,112.7363
,运城市,35.037,111.0023
内蒙古,呼和浩特市,40.842,111.7499
,包头市,40.6572,109.834
,乌兰察布市,40.9933,113.125
,赤峰市,42.2866,118.9566
,通辽市,43.617,122.2462
辽宁,沈阳市,41.8057,123.4328
,大连市,38.914,121.6147
,鞍山市,41.1155,122.994
,抚顺市,41.881,123.9228
,本溪市,41.2954,123.7711
,丹东市,40.124,124.383
,锦州市,41.0954,121.1354
,营口市,40.6686,122.2354
吉林,长春市,43.8171,125.3235
,吉林市,43.8403,126.5547
,四平市,43.1662,124.35
,辽源市,42.903,126.0013
,通化市,41.736,125.9382
,白山市,41.9409,126.4452
,松原市,45.115,124.8258
,白城市,45.6199,122.8449
黑龙江,哈尔滨市,45.8038,126.5349
,齐齐哈尔市,47.3543,123.987
,牡丹江市,44.5824,129.6352
,大庆市,46.5906,125.0035
,伊春市,47.7313,128.8997
,七台河市,45.7754,131.0202
,佳木斯市,46.7506,130.3615
,黑河市,50.2504,126.5833
上海,上海市,31.2304,121.4737
江苏,南京市,32.0603,118.7969
,苏州市,31.2989,120.5853
,无锡市,31.5743,120.301
,常州市,31.7792,119.973
,镇江市,32.205,119.452
,泰州市,32.456,119.9103
,南通市,31.9802,120.8934
,盐城市,33.3777,120.149
,扬州市,32.3934,119.416
,淮安市,33.503,119.0215
,宿迁市,33.9636,118.2752
浙江,杭州市,30.2741,120.1551
,宁波市,29.8852,121.5495
,温州市,27.9935,120.6994
,嘉兴市,30.7527,120.7555
,湖州市,30.8672,120.1026
,绍兴市,30.0342,120.5822
,金华市,29.1028,119.6546
,衢州市,28.9345,118.8758
,台州市,28.6565,121.4204
,丽水市,28.1515,119.9223
安徽,合肥市,31.8206,117.2272
,芜湖市,31.3524,118.4332
,蚌埠市,32.9295,117.389
,淮南市,32.6454,117.0154
,马鞍山市,31.688,118.5102
,淮北市,33.7351,116.7542
,铜陵市,30.9402,117.8139
,安庆市,30.51,117.0588
,黄山城市,29.711,118.3073
,六安市,31.7562,116.5019
,亳州市,33.8665,115.785
,宣城市,30.9486,118.7526
福建,福州市,26.0745,119.2965
,厦门市,24.4798,118.0894
,泉州市,24.8741,118.675
,漳州市,24.5123,117.676
,南平市,26.645,118.1819
,龙岩市,25.0754,117.0174
,三明市,26.2653,117.6372
,宁德市,26.6619,119.5273
江西,南昌市,28.682,115.8579
,九江市,29.708,115.9995
,赣州市,25.8453,114.933
,吉安市,27.1136,114.986
,宜春市,27.8072,114.4006
,抚州市,27.9532,116.3602
,上饶市,28.454,117.9622
山东,济南市,36.6512,117.1201
,青岛市,36.0671,120.3826
,淄博市,36.8135,118.0521
,枣庄市,34.8072,117.557
,东营市,37.4615,118.662
,烟台市,37.4636,121.4475
,威海市,37.512,122.1204
,蓬莱市,37.811,120.7481
,济宁市,35.4146,116.5879
,泰安市,36.2028,117.0865
,临沂市,35.0662,118.3564
,日照市,35.4167,119.5271
,莱芜市,36.2333,117.677
,德州市,37.453,116.3075
,聊城市,36.4577,115.9859
,滨州市,37.3833,117.969
,菏泽市,35.2622,115.467
河南,郑州市,34.757,113.6249
,洛阳市,34.6197,112.454
,平顶山市,33.7356,112.8625
,焦作市,35.2154,113.2485
,鹤壁市,35.7482,114.2932
,新乡市,35.314,113.885
,安阳市,36.0975,114.3526
,濮阳市,36.0957,115
,许昌市,34.0415,113.8353
,漯河市,33.5766,114.0346
,三门峡市,34.7775,111.1939
,南阳市,32.998,112.5409
,商丘市,34.4373,115.652
,信阳市,32.1338,114.0798
,周口市,33.6235,114.654
,郑州市,34.757,113.6249
,许昌市,34.0415,113.8353
,信阳市,32.1338,114.0798
湖北,武汉市,30.5928,114.3055
,黄石市,30.2034,115.0505
,十堰市,32.6293,110.7864
,宜昌市,30.7026,111.2872
,襄阳市,32.0454,112.1452
,鄂州市,30.4086,114.8959
,荆门市,31.0423,112.1911
,荆州市,30.3325,112.2443
,黄冈市,30.4471,114.8727
,咸宁市,29.8488,114.3022
,随州市,31.7175,113.3755
,恩施州,30.2747,109.4869
,仙桃市,30.3662,113.4499
,天门市,30.5982,113.165
,潜江市,30.4238,112.8604
湖南,长沙市,28.2278,112.9388
,株洲市,27.8274,113.1317
,湘潭市,27.835,112.944
,衡阳市,26.8982,112.5719
,邵阳市,27.2408,111.4614
,岳阳市,29.3703,113.1008
,常德市,29.0315,111.6985
,张家界市,29.1288,110.481
,益阳市,28.5799,112.3553
,郴州市,25.7877,113.0325
,永州市,26.4201,111.6135
,怀化市,27.548,109.9782
,娄底市,27.7394,112.006
,湘西州,28.3136,109.7372
广东,广州市,23.1291,113.2644
,深圳市,22.5431,114.0579
,珠海市,22.2707,113.5768
,汕头市,23.3682,116.6882
,佛山市,23.021,113.1217
,韶关市,24.8045,113.5945
,惠州市,23.1135,114.413
,梅州市,24.2976,116.1172
,汕尾市,22.7799,115.3685
,河源市,23.746,114.703
,阳江市,21.8535,112.2646
,清远市,23.6882,113.0517
,东莞市,23.02,113.7517
,中山市,22.5162,113.3844
,云浮市,22.9342,112.038
广西,南宁市,22.8176,108.3669
,柳州市,24.3152,109.4415
,桂林市,25.2815,110.2916
,梧州市,23.4898,111.2935
,北海市,21.4813,109.1196
,防城港市,21.6133,108.3481
,钦州市,21.9792,108.6197
,贵港市,23.1125,109.6026
,玉林市,22.6356,110.151
,百色市,23.9036,106.6192
,贺州市,24.4124,111.5523
,来宾市,23.7591,109.2202
,崇左市,22.7986,107.9531
海南,海口市,20.044,110.199
,三亚市,18.2528,109.511
,琼海市,19.2493,110.4711
,万宁市,18.795,110.3892
,文昌市,19.4506,110.7859
,东方市,19.0973,108.7503
,临高县,19.8968,110.3806
,陵水黎族自治县,18.5412,110.1555
,保亭黎族苗族自治县,18.6341,109.7093
,三沙市,16.8,112.3
,儋州市,20.0024,109.577
四川,成都市,30.5728,104.0668
,绵阳市,31.464,104.7486
,自贡市,29.3596,104.7782
,攀枝花市,26.5804,101.7182
,泸州市,28.8835,105.4423
,德阳市,31.133,104.3717
,广元市,32.4334,105.8277
,遂宁市,30.5088,105.5773
,内江市,29.5904,105.0662
,乐山市,29.5593,103.572
,南充市,30.7959,106.0848
,眉山市,30.0826,103.8383
,宜宾市,28.7668,104.636
,广安市,30.4598,106.6341
,达州市,31.2146,107.498
,雅安市,30.0157,102.9955
,巴中市,31.8623,106.7561
,资阳市,30.122,104.634
,阿坝州,31.8998,102.2219
,甘孜州,30,101.9687
,凉山州,27.8856,102.0797
贵州,贵阳市,26.647,106.6302
,六盘水市,26.5859,104.834
,遵义市,27.1869,106.9003
,安顺市,26.2501,105.929
,毕节市,27.3085,105.3226
,铜仁市,27.6898,109.1872
,黔东南州,26.5751,107.9928
,黔南州,26.0136,107.524
,黔西南州,25.055,106.4976
西藏,拉萨市,29.6465,91.1172
,日喀则市,29.2676,88.883
,昌都市,29.1501,97.171
,山南市,29.2427,90.9985
,那曲市,31.4777,92.0603
,阿里地区,32.5041,80.1056
,林芝市,29.6507,94.3622
新疆,乌鲁木齐市,43.8256,87.6168
,克拉玛依市,45.5966,84.8891
,吐鲁番市,42.9543,89.1853
,哈密市,42.8303,93.5138
,昌吉州,44.0083,87.265
,巴音郭楞州,41.7637,86.17
,阿克苏州,41.1569,80.264
,克州,39.1711,75.9667
,喀什地区,39.4706,75.9893
,和田地区,37.1104,79.9211
,伊犁州,43.9178,81.3226
,石河子市,44.3095,86.0765
,阿拉尔市,40.5406,81.284
,图木舒克市,39.8225,79.1164
,五家渠市,43.8261,87.5182
